"","Amaretto Sour.txt","Aperol Spritz.txt","Boulevardier.txt","Classic Old Fashioned.txt","Cosmopolitan.txt","Daiquiri.txt","French75.txt","GinandTonic.txt","GinFizz.txt","Mai Tai.txt","Manhattan.txt","Margarita.txt","Mojito.txt","MoscowMule.txt","NewYorkSour.txt","Paloma.txt","Pinacolada.txt","TomCollins.txt","Whiskey sour.txt","Whisky Smash.txt"
"bourbon",17.2420675119472,0,23.9013673809706,5.06346732406525,0,0,0,0,0,0,18.017667007043,0,0,1.78891855822645,15.8451673064583,0,0,0,12.6060575733429,6.673870654573
"burn",1.91578527910524,0,0,0,0,0,0,0,0,0,0,1.99100870034283,0,0,0,0,1.91578527910524,0,0,0
"call",3.83157055821048,0,1.70724052721218,3.37564488271017,0,0,3.5778371164529,4.06713662952325,3.5440810408782,1.67635004019285,3.6035334014086,0,0,3.5778371164529,0,3.84125580716206,1.91578527910524,2.07235433979678,2.10100959555716,0
"caramel",1.91578527910524,0,0,0,0,0,0,0,0,1.67635004019285,0,0,0,0,0,0,1.91578527910524,0,0,0
"cherri",5.74735583731572,0,0,11.8147570894856,0,0,0,0,0,5.02905012057854,14.4141336056344,0,0,0,0,0,1.91578527910524,6.21706301939034,6.30302878667147,0
"citrus",3.83157055821048,5.94193773992185,0,0,1.8017667007043,2.14255859847003,0,0,1.7720405204391,6.70540016077138,0,0,0,1.78891855822645,0,3.84125580716206,1.91578527910524,0,0,0
"classic",9.57892639552621,7.92258365322913,11.9506836904853,8.43911220677541,9.0088335035215,27.8532617801104,19.678104140491,4.06713662952325,12.4042836430737,8.38175020096423,14.4141336056344,15.9280696027426,7.29421621955683,12.5224299075852,27.7290427863019,9.60313951790515,15.3262822328419,10.3617716989839,4.20201919111431,11.1231177576217
"cocktail",9.57892639552621,1.98064591330728,17.0724052721218,8.43911220677541,7.2070668028172,6.42767579541009,16.1002670240381,2.03356831476162,12.4042836430737,8.38175020096423,18.017667007043,3.98201740068566,10.9413243293352,7.15567423290581,15.8451673064583,1.92062790358103,5.74735583731572,12.4341260387807,6.30302878667147,8.89849420609734
"coffe",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"collect",1.91578527910524,0,3.41448105442437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"color",1.91578527910524,1.98064591330728,5.12172158163655,0,7.2070668028172,2.14255859847003,0,0,0,1.67635004019285,0,0,0,0,0,1.92062790358103,0,0,0,0
"complex",5.74735583731572,0,0,0,0,0,1.78891855822645,0,0,5.02905012057854,9.0088335035215,0,0,0,3.96129182661456,0,1.91578527910524,0,0,0
"connectioncan",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"convinc",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cook",1.91578527910524,0,0,0,1.8017667007043,0,0,0,0,0,0,0,0,0,0,0,0,2.07235433979678,4.20201919111431,0
"cooki",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cool",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,3.5778371164529,0,0,0,0,0,0
"correct",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cours",1.91578527910524,0,3.41448105442437,0,0,0,0,0,1.7720405204391,1.67635004019285,0,1.99100870034283,5.47066216466762,0,5.94193773992185,0,1.91578527910524,0,2.10100959555716,0
"creami",3.83157055821048,0,0,0,0,0,0,0,3.5440810408782,0,0,0,0,0,0,0,0,0,0,0
"dash",1.91578527910524,0,0,5.06346732406525,0,0,1.78891855822645,0,0,0,3.6035334014086,0,0,0,0,0,0,0,0,0
"defin",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dessert",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"didnt",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07235433979678,0,0
"dilut",1.91578527910524,5.94193773992185,3.41448105442437,0,0,0,0,0,1.7720405204391,0,1.8017667007043,0,0,0,0,0,0,0,0,0
"dinner",1.91578527910524,1.98064591330728,1.70724052721218,1.68782244135508,5.4053001021129,0,7.15567423290581,2.03356831476162,0,1.67635004019285,1.8017667007043,0,1.82355405488921,1.78891855822645,1.98064591330728,0,0,2.07235433979678,0,0
"distinct",1.91578527910524,0,1.70724052721218,0,0,0,0,0,0,1.67635004019285,0,0,0,0,0,0,0,0,0,0
"dri",3.83157055821048,1.98064591330728,6.82896210884874,0,0,0,0,0,5.3161215613173,0,5.4053001021129,0,0,0,0,0,0,0,0,0
